Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
4 Cheese Margherita Pizza (Regular), Peri Peri Paneer Pizza (Regular), Chipotle Chicken Pizza (Regular), Country Side Chicken Pizza (Regular)
BBQ Chicken Pizza (Regular), Cheese Burst Pizza (Regular), Pepper BBQ Chicken Pizza (Regular), Spicy Tandoori Paneer Pizza (Regular)
El Mexicana Pizza (Regular), Peri Peri Chicken Pizza (Regular), Classic Chicken Supreme Pizza (Regular), American Heat Pizza (Regular)
Veg Extravaganza Pizza (Regular), Farm Fresh Pizza (Regular), Paneer Overload Pizza (Regular), Chicken Overload Pizza (Regular)
Double Cheese Margherita Pizza (Regular), Ultimate Cheese Pizza (Regular), Mexican Wave Pizza (Regular), Spiced Paneer Pizza (Regular)
4 Cheese Margherita Pizza (Regular), Peri Peri Paneer Pizza (Regular), Chipotle Chicken Pizza (Regular), Country Side Chicken Pizza (Regular)
BBQ Chicken Pizza (Regular), Cheese Burst Pizza (Regular), Pepper BBQ Chicken Pizza (Regular), Spicy Tandoori Paneer Pizza (Regular)
El Mexicana Pizza (Regular), Peri Peri Chicken Pizza (Regular), Classic Chicken Supreme Pizza (Regular), American Heat Pizza (Regular)
Veg Extravaganza Pizza (Regular), Farm Fresh Pizza (Regular), Paneer Overload Pizza (Regular), Chicken Overload Pizza (Regular)
Double Cheese Margherita Pizza (Regular), Ultimate Cheese Pizza (Regular), Mexican Wave Pizza (Regular), Spiced Paneer Pizza (Regular)
4 Cheese Margherita Pizza (Regular), Peri Peri Paneer Pizza (Regular), Chipotle Chicken Pizza (Regular), Country Side Chicken Pizza (Regular)
BBQ Chicken Pizza (Regular), Cheese Burst Pizza (Regular), Pepper BBQ Chicken Pizza (Regular), Spicy Tandoori Paneer Pizza (Regular)
El Mexicana Pizza (Regular), Peri Peri Chicken Pizza (Regular), Classic Chicken Supreme Pizza (Regular), American Heat Pizza (Regular)
Veg Extravaganza Pizza (Regular), Farm Fresh Pizza (Regular), Paneer Overload Pizza (Regular), Chicken Overload Pizza (Regular)
Double Cheese Margherita Pizza (Regular), Ultimate Cheese Pizza (Regular), Mexican Wave Pizza (Regular), Spiced Paneer Pizza (Regular)
4 Cheese Margherita Pizza (Regular), Peri Peri Paneer Pizza (Regular), Chipotle Chicken Pizza (Regular), Country Side Chicken Pizza (Regular)
BBQ Chicken Pizza (Regular), Cheese Burst Pizza (Regular), Pepper BBQ Chicken Pizza (Regular), Spicy Tandoori Paneer Pizza (Regular)
El Mexicana Pizza (Regular), Peri Peri Chicken Pizza (Regular), Classic Chicken Supreme Pizza (Regular), American Heat Pizza (Regular)
Veg Extravaganza Pizza (Regular), Farm Fresh Pizza (Regular), Paneer Overload Pizza (Regular), Chicken Overload Pizza (Regular)
Double Cheese Margherita Pizza (Regular), Ultimate Cheese Pizza (Regular), Mexican Wave Pizza (Regular), Spiced Paneer Pizza (Regular)
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
Bean Burrito, Cheesy Potato Griller, Mexican Paneer Taco, Veggie Quesadilla
Chicken Quesadilla, Grilled Chicken Burrito, Crunchy Taco, Nacho Cheese Doritos Locos Tacos
Mexican Rice Bowl, Chalupa Supreme, Cheesy Fiesta Potatoes, Mexican Paneer Chalupa
Fajita Chicken Burrito, Nacho Fries, Mexican Paneer Burrito, Beefy Nachos Griller
Chalupa Cravings Box, Chicken Quesarito, Veggie Power Menu Bowl, Cinnamon Twists
McAloo Tikki Burger, McVeggie Burger, McSpicy Paneer Burger, Veg Maharaja Mac
Filet-O-Fish Burger, McChicken Burger, McSpicy Chicken Burger, Chicken Maharaja Mac
McEgg Burger, BigSpicy Chicken Wrap, BigSpicy Paneer Wrap, McVeggie Wrap
McChicken Wrap, Veg Pizza McPuff, Chicken McPuff, McAloo Wrap
Masala Wedges, Chicken McNuggets (6 pcs), French Fries (Regular), Soft Serve Cone
McAloo Tikki Burger, McVeggie Burger, McSpicy Paneer Burger, Veg Maharaja Mac
Filet-O-Fish Burger, McChicken Burger, McSpicy Chicken Burger, Chicken Maharaja Mac
McEgg Burger, BigSpicy Chicken Wrap, BigSpicy Paneer Wrap, McVeggie Wrap
McChicken Wrap, Veg Pizza McPuff, Chicken McPuff, McAloo Wrap
Masala Wedges, Chicken McNuggets (6 pcs), French Fries (Regular), Soft Serve Cone
McAloo Tikki Burger, McVeggie Burger, McSpicy Paneer Burger, Veg Maharaja Mac
Filet-O-Fish Burger, McChicken Burger, McSpicy Chicken Burger, Chicken Maharaja Mac
McEgg Burger, BigSpicy Chicken Wrap, BigSpicy Paneer Wrap, McVeggie Wrap
McChicken Wrap, Veg Pizza McPuff, Chicken McPuff, McAloo Wrap
Masala Wedges, Chicken McNuggets (6 pcs), French Fries (Regular), Soft Serve Cone
McAloo Tikki Burger, McVeggie Burger, McSpicy Paneer Burger, Veg Maharaja Mac
Filet-O-Fish Burger, McChicken Burger, McSpicy Chicken Burger, Chicken Maharaja Mac
McEgg Burger, BigSpicy Chicken Wrap, BigSpicy Paneer Wrap, McVeggie Wrap
McChicken Wrap, Veg Pizza McPuff, Chicken McPuff, McAloo Wrap
Masala Wedges, Chicken McNuggets (6 pcs), French Fries (Regular), Soft Serve Cone
McSpicy Paneer Burger, McVeggie Burger, McAloo Tikki Burger, Veg Maharaja Mac
McChicken Burger, Filet-O-Fish Burger, Chicken Maharaja Mac, McSpicy Chicken Burger
BigSpicy Paneer Wrap, McEgg Burger, BigSpicy Chicken Wrap, McVeggie Wrap
Chicken McNuggets (6 pcs), Veg Pizza McPuff, Chicken McPuff, McChicken Wrap
Masala Wedges, French Fries (Regular), Soft Serve Cone, McAloo Wrap
McSpicy Paneer Burger, McVeggie Burger, McAloo Tikki Burger, Veg Maharaja Mac
McChicken Burger, Filet-O-Fish Burger, Chicken Maharaja Mac, McSpicy Chicken Burger
BigSpicy Paneer Wrap, McEgg Burger, BigSpicy Chicken Wrap, McVeggie Wrap
Chicken McNuggets (6 pcs), Veg Pizza McPuff, Chicken McPuff, McChicken Wrap
Masala Wedges, French Fries (Regular), Soft Serve Cone, McAloo Wrap
McSpicy Paneer Burger, McVeggie Burger, McAloo Tikki Burger, Veg Maharaja Mac
McChicken Burger, Filet-O-Fish Burger, Chicken Maharaja Mac, McSpicy Chicken Burger
BigSpicy Paneer Wrap, McEgg Burger, BigSpicy Chicken Wrap, McVeggie Wrap
Chicken McNuggets (6 pcs), Veg Pizza McPuff, Chicken McPuff, McChicken Wrap
Masala Wedges, French Fries (Regular), Soft Serve Cone, McAloo Wrap
McSpicy Paneer Burger, McVeggie Burger, McAloo Tikki Burger, Veg Maharaja Mac
McChicken Burger, Filet-O-Fish Burger, Chicken Maharaja Mac, McSpicy Chicken Burger
BigSpicy Paneer Wrap, McEgg Burger, BigSpicy Chicken Wrap, McVeggie Wrap
Chicken McNuggets (6 pcs), Veg Pizza McPuff, Chicken McPuff, McChicken Wrap
Masala Wedges, French Fries (Regular), Soft Serve Cone, McAloo Wrap
Margherita Pizza, Pepperoni Pizza, Veggie Supreme Pizza, Chicken Supreme Pizza
BBQ Chicken Pizza, Extravaganzza Pizza, Hawaiian Pizza, Cheese Burst Pizza
Farmhouse Pizza, Mexican Green Wave Pizza, Paneer Makhani Pizza, Non-Veg Supreme Pizza
Chicken Golden Delight Pizza, Simply Veg Pizza, Spicy Chicken Pizza, Peppy Paneer Pizza
Deluxe Veggie Pizza, Cheese and Corn Pizza, Chicken Sausage Pizza, Veg Parcel
Margherita Pizza, Pepperoni Pizza, Veggie Supreme Pizza, Chicken Supreme Pizza
BBQ Chicken Pizza, Extravaganzza Pizza, Hawaiian Pizza, Cheese Burst Pizza
Farmhouse Pizza, Mexican Green Wave Pizza, Paneer Makhani Pizza, Non-Veg Supreme Pizza
Chicken Golden Delight Pizza, Simply Veg Pizza, Spicy Chicken Pizza, Peppy Paneer Pizza
Deluxe Veggie Pizza, Cheese and Corn Pizza, Chicken Sausage Pizza, Veg Parcel
Margherita Pizza, Pepperoni Pizza, Veggie Supreme Pizza, Chicken Supreme Pizza
BBQ Chicken Pizza, Extravaganzza Pizza, Hawaiian Pizza, Cheese Burst Pizza
Farmhouse Pizza, Mexican Green Wave Pizza, Paneer Makhani Pizza, Non-Veg Supreme Pizza
Chicken Golden Delight Pizza, Simply Veg Pizza, Spicy Chicken Pizza, Peppy Paneer Pizza
Deluxe Veggie Pizza, Cheese and Corn Pizza, Chicken Sausage Pizza, Veg Parcel
Margherita Pizza, Pepperoni Pizza, Veggie Supreme Pizza, Chicken Supreme Pizza
BBQ Chicken Pizza, Extravaganzza Pizza, Hawaiian Pizza, Cheese Burst Pizza
Farmhouse Pizza, Mexican Green Wave Pizza, Paneer Makhani Pizza, Non-Veg Supreme Pizza
Chicken Golden Delight Pizza, Simply Veg Pizza, Spicy Chicken Pizza, Peppy Paneer Pizza
Deluxe Veggie Pizza, Cheese and Corn Pizza, Chicken Sausage Pizza, Veg Parcel
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Paneer Tikka Masala, Aloo Gobi
Palak Paneer, Veg Korma, Dal Makhani
Veg Manchurian, Vegetable Pulao, Tandoori Roti, Veg Pizza
Chicken Biryani, Butter Chicken, Chicken Tikka Masala
Chicken Curry, Fish Fry, Prawn Masala, Mutton Biryani
Goan Fish Curry, Lamb Rogan Josh, Tandoori Chicken
Vegetable Biryani, Vegetable Biryani, Vegetable Biryani, Paneer Tikka Masala, Paneer Tikka Masala, Paneer Tikka Masala, Aloo Gobi, Aloo Gobi, Aloo Gobi
Palak Paneer, Palak Paneer, Palak Paneer, Veg Korma, Veg Korma, Veg Korma, Dal Makhani, Dal Makhani, Dal Makhani
Veg Manchurian, Veg Manchurian, Veg Manchurian, Vegetable Pulao, Vegetable Pulao, Vegetable Pulao, Tandoori Roti, Tandoori Roti, Tandoori Roti
Chicken Biryani, Chicken Biryani, Chicken Biryani, Butter Chicken, Butter Chicken, Butter Chicken, Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala
Chicken Curry, Chicken Curry, Chicken Curry, Fish Fry, Fish Fry, Fish Fry, Prawn Masala, Prawn Masala, Prawn Masala, Mutton Biryani, Mutton Biryani, Mutton Biryani
Goan Fish Curry, Goan Fish Curry, Goan Fish Curry, Lamb Rogan Josh, Lamb Rogan Josh, Lamb Rogan Josh, Tandoori Chicken, Tandoori Chicken, Tandoori Chicken
Vegetable Biryani, Vegetable Biryani, Vegetable Biryani, Paneer Tikka Masala, Paneer Tikka Masala, Paneer Tikka Masala, Aloo Gobi, Aloo Gobi, Aloo Gobi
Palak Paneer, Palak Paneer, Palak Paneer, Veg Korma, Veg Korma, Veg Korma, Dal Makhani, Dal Makhani, Dal Makhani
Veg Manchurian, Veg Manchurian, Veg Manchurian, Vegetable Pulao, Vegetable Pulao, Vegetable Pulao, Tandoori Roti, Tandoori Roti, Tandoori Roti
Chicken Biryani, Chicken Biryani, Chicken Biryani, Butter Chicken, Butter Chicken, Butter Chicken, Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala
Chicken Curry, Chicken Curry, Chicken Curry, Fish Fry, Fish Fry, Fish Fry, Prawn Masala, Prawn Masala, Prawn Masala, Mutton Biryani, Mutton Biryani, Mutton Biryani
Goan Fish Curry, Goan Fish Curry, Goan Fish Curry, Lamb Rogan Josh, Lamb Rogan Josh, Lamb Rogan Josh, Tandoori Chicken, Tandoori Chicken, Tandoori Chicken
Vegetable Biryani, Vegetable Biryani, Vegetable Biryani, Paneer Tikka Masala, Paneer Tikka Masala, Paneer Tikka Masala, Aloo Gobi, Aloo Gobi, Aloo Gobi
Palak Paneer, Palak Paneer, Palak Paneer, Veg Korma, Veg Korma, Veg Korma, Dal Makhani, Dal Makhani, Dal Makhani
Veg Manchurian, Veg Manchurian, Veg Manchurian, Vegetable Pulao, Vegetable Pulao, Vegetable Pulao, Tandoori Roti, Tandoori Roti, Tandoori Roti
Chicken Biryani, Chicken Biryani, Chicken Biryani, Butter Chicken, Butter Chicken, Butter Chicken, Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala
Chicken Curry, Chicken Curry, Chicken Curry, Fish Fry, Fish Fry, Fish Fry, Prawn Masala, Prawn Masala, Prawn Masala, Mutton Biryani, Mutton Biryani, Mutton Biryani
Goan Fish Curry, Goan Fish Curry, Goan Fish Curry, Lamb Rogan Josh, Lamb Rogan Josh, Lamb Rogan Josh, Tandoori Chicken, Tandoori Chicken, Tandoori Chicken
Masala Dosa, Idli Sambar, Pongal Vada
Onion Rava Masala Dosa, Ghee Roast Dosa, Medu Vada
Paneer Butter Masala, Chole Bhature, Veg Pulao
Mushroom Manchurian, Vegetable Biryani, Butter Naan
Palak Paneer, Pav Bhaji, Masala Puri
Rava Upma, Poori Masala, Gobi Manchurian
Tomato Uttapam, Vegetable Fried Rice, Masala Dosa
Idli Sambar, Pongal Vada, Onion Rava Masala Dosa
Ghee Roast Dosa, Medu Vada, Paneer Butter Masala
Chole Bhature, Veg Pulao, Mushroom Manchurian
Vegetable Biryani, Butter Naan, Palak Paneer
Pav Bhaji, Masala Puri, Rava Upma
Poori Masala, Gobi Manchurian, Tomato Uttapam
Vegetable Fried Rice, Masala Dosa, Idli Sambar
Pongal Vada, Onion Rava Masala Dosa, Ghee Roast Dosa
Medu Vada, Paneer Butter Masala, Chole Bhature
Veg Pulao, Mushroom Manchurian, Vegetable Biryani
Butter Naan, Palak Paneer, Pav Bhaji
Masala Puri, Rava Upma, Poori Masala
Gobi Manchurian, Tomato Uttapam, Vegetable Fried Rice  
Masala Dosa, Masala Dosa, Masala Dosa, Idli Sambar, Idli Sambar, Idli Sambar, Pongal Vada, Pongal Vada, Pongal Vada
Onion Rava Masala Dosa, Onion Rava Masala Dosa, Onion Rava Masala Dosa, Ghee Roast Dosa, Ghee Roast Dosa, Ghee Roast Dosa, Medu Vada, Medu Vada, Medu Vada
Paneer Butter Masala, Paneer Butter Masala, Paneer Butter Masala, Chole Bhature, Chole Bhature, Chole Bhature, Veg Pulao, Veg Pulao, Veg Pulao
Mushroom Manchurian, Mushroom Manchurian, Mushroom Manchurian, Vegetable Biryani, Vegetable Biryani, Vegetable Biryani, Butter Naan, Butter Naan, Butter Naan
Palak Paneer, Palak Paneer, Palak Paneer, Pav Bhaji, Pav Bhaji, Pav Bhaji, Masala Puri, Masala Puri, Masala Puri
Rava Upma, Rava Upma, Rava Upma, Poori Masala, Poori Masala, Poori Masala, Gobi Manchurian, Gobi Manchurian, Gobi Manchurian
Tomato Uttapam, Tomato Uttapam, Tomato Uttapam, Vegetable Fried Rice, Vegetable Fried Rice, Vegetable Fried Rice, Masala Dosa, Masala Dosa, Masala Dosa
Idli Sambar, Idli Sambar, Idli Sambar, Pongal Vada, Pongal Vada, Pongal Vada, Onion Rava Masala Dosa, Onion Rava Masala Dosa, Onion Rava Masala Dosa
Ghee Roast Dosa, Ghee Roast Dosa, Ghee Roast Dosa, Medu Vada, Medu Vada, Medu Vada, Paneer Butter Masala, Paneer Butter Masala, Paneer Butter Masala
Chole Bhature, Chole Bhature, Chole Bhature, Veg Pulao, Veg Pulao, Veg Pulao, Mushroom Manchurian, Mushroom Manchurian, Mushroom Manchurian
Vegetable Biryani, Vegetable Biryani, Vegetable Biryani, Butter Naan, Butter Naan, Butter Naan, Palak Paneer, Palak Paneer, Palak Paneer
Pav Bhaji, Pav Bhaji, Pav Bhaji, Masala Puri, Masala Puri, Masala Puri, Rava Upma, Rava Upma, Rava Upma
